VH-VL pair,split
6hjp_G0-H0,train
6hjp_I0-J0,train
6hjp_K0-L0,train
6hkg_A0-B0,train
6hkg_C0-D0,train
6hxw_H0-L0,train
6hxw_C0-D0,train
6i04_C0-D0,train
6i04_H0-L0,train
6i07_B1-B0,train
6i07_A1-A0,train
6i3z_H0-L0,train
6i1o_H0-L0,train
6i8s_E0-I0,train
6i8s_F0-J0,train
6i8s_G0-K0,train
6i8s_H0-L0,train
6i9i_H0-L0,train
6i9i_A0-B0,train
6iap_E0-D0,train
6ias_H0-L0,train
6iap_H0-L0,train
6iea_H0-L0,valid
6ieb_E0-F0,train
6ieb_H0-L0,train
6iec_J0-K0,train
6iec_H0-L0,train
6iec_C0-D0,train
6iec_F0-G0,train
6iek_E0-F0,train
6iek_B0-C0,train
6ii4_H0-L0,train
6ii4_E0-F0,train
6ii8_J0-K0,train
6ii8_H0-L0,train
6ii8_G0-I0,train
6ii9_H0-L0,train
6ii9_M0-N0,train
6ii9_P0-Q0,train
6iuv_C0-D0,train
6iuv_H0-L0,train
6bft_H0-L0,train
6bft_A0-B0,train
7cyv_H0-H1,train
7dc7_A0-B0,train
7w71_I0-M0,train
7w71_H0-L0,train
8f9u_A0-B0,train
8f9v_A0-B0,train
8f9v_C0-D0,train
8f9v_E0-F0,train
8f9v_G0-H0,train
8f9w_A0-B0,train
8f9w_C0-D0,train
8f9w_E0-F0,train
8f9w_G0-H0,train
8gpy_C0-D0,train
8gpy_E0-F0,train
8gsi_B0-A0,train
8h73_D0-D1,train
5drn_H0-L0,train
5drn_A0-B0,train
6ko5_H0-L0,train
6l8t_H0-L0,test
6l8t_A0-B0,unassigned
6l8t_C0-D0,unassigned
6yxk_A0-B0,valid
7fah_H0-L0,train
7fah_C0-D0,train
7yhk_F0-H0,train
7yd3_H0-L0,unassigned
7yd3_A0-B0,unassigned
7yd3_C0-D0,unassigned
7yd3_E0-F0,unassigned
7y8j_H0-L0,valid
7yi6_D0-B0,unassigned
7yi6_F0-E0,unassigned
8dzv_A1-A0,train
4p48_A1-A0,train
8e6k_H0-L0,train
8e6k_E0-I0,train
8e6k_G0-K0,train
8e6k_F0-J0,train
8eqa_H0-L0,train
8eqa_B0-A0,train
8e7m_H0-L0,train
8e8l_H0-L0,train
8e8r_H0-L0,train
8e8s_H0-L0,train
8e8x_H0-L0,train
8e8y_H0-L0,train
8e8z_H0-L0,train
3wbd_B1-B0,train
3wbd_A1-A0,train
6pef_D0-E0,train
6pef_A0-B0,train
6t3f_H0-L0,train
6ug7_H0-L0,train
6ug8_H0-L0,train
6ug9_H0-L0,train
6ug9_J0-K0,train
6ug9_A0-B0,train
6uga_B0-A0,train
6uga_H0-L0,train
7czt_I0-M0,train
7czt_H0-L0,train
7czu_J0-N0,train
7czu_H0-K0,train
7czv_H0-K0,train
7czv_I0-M0,train
7czv_J0-N0,train
7czx_I0-M0,train
7czx_H0-K0,train
7czx_J0-N0,train
7czy_H0-K0,train
7czy_J0-N0,train
7czz_I0-M0,train
7czz_J0-N0,train
7czz_H0-K0,train
6vrq_A0-B0,train
7kzc_C0-D0,train
7kzc_H0-L0,train
7x8q_F0-E0,train
7x8q_C0-B0,train
8ekf_HHH0-LLL0,train
2gki_A0-B1,train
4glr_J0-K0,train
4glr_H0-I0,train
4gms_H0-L0,train
4gms_I0-M0,train
4gms_J0-N0,train
4gmt_H0-L0,train
4gmt_I0-M0,train
5i1l_B0-A0,valid
5i1l_H0-L0,unassigned
7upk_H0-L0,train
7upk_C0-F0,train
7upk_E0-G0,train
7ven_B0-A0,valid
8d36_H0-L0,valid
8d3a_H0-L0,train
8d6z_A0-B0,train
8d6z_C0-D0,train
8d6z_E0-F0,train
8d6z_G0-I0,train
8d7e_D0-E0,train
8d7e_F0-G0,train
8d9y_B0-A0,train
8d9y_D0-C0,train
8d9y_F0-E0,train
8d9y_H0-G0,train
8d9z_B0-A0,train
8da0_B0-A0,train
8da0_D0-C0,train
8da1_B0-A0,train
8dao_A0-B0,train
8dao_C0-D0,train
8dcc_H0-L0,train
7bwj_H0-L0,train
8de6_B0-I0,train
8de6_E0-F0,train
8dfh_H0-L0,train
8dfi_H0-L0,train
8dg9_H0-L0,valid
8dg9_F0-G0,unassigned
8dg9_D0-E0,unassigned
8dgw_H0-L0,train
8dgw_A0-B0,train
8dgw_C0-D0,train
8dgw_E0-F0,train
7ur4_F0-G0,train
7ur4_H0-L0,train
7ur4_I0-J0,train
7urx_H0-L0,train
8djm_H0-L0,train
8djk_H0-L0,train
8dke_A0-B0,train
8dki_A0-B0,train
8dkm_A0-B0,train
8dkw_A0-B0,train
8dkx_A0-B0,train
8dkf_H0-L0,train
8dkf_A0-B0,train
8dp1_R0-M0,train
8dp1_E0-F0,train
8dp1_N0-O0,train
8dmj_D0-E0,train
8dmj_H0-L0,train
7upb_B0-E0,train
7upb_C0-F0,train
7upb_H0-L0,train
8dpz_F0-G0,train
8ds5_C0-B0,train
8dt3_H0-L0,train
8eeu_H0-L0,train
3dsf_H0-L0,train
3cxd_H0-L0,train
8ef1_H0-L0,train
8ejj_H0-L0,train
8ejj_I0-J0,train
8ejj_h0-l0,train
8fax_A0-B0,train
8fr6_D0-E0,train
8fr6_H0-L0,train
8fr6_J0-K0,train
8gb6_H0-L0,train
8gjm_D0-E0,train
8h8q_H0-L0,train
7e6p_H0-L0,train
4jn1_H0-L0,train
4jn2_B0-A0,train
4jn2_H0-L0,train
4zd3_H0-L0,train
4zff_A0-B0,unassigned
4zff_H0-L0,unassigned
4zfg_H0-L0,valid
4zfo_A0-B0,train
4zfo_H0-L0,train
4zpt_A0-B0,train
4zpt_H0-L0,train
4zpv_H0-L0,train
4zpv_A0-B0,train
4zso_D0-C0,train
4zso_B0-A0,train
4zto_I0-M0,train
4zto_H0-L0,train
4ztp_H0-L0,train
5a3i_C0-D0,train
5a3i_G0-H0,train
5aam_A0-A1,train
5aam_B0-B1,train
5aaw_A0-A1,train
5aaw_B0-B1,train
5aaw_D0-D1,train
5aaw_F0-F1,train
5aaw_H0-H1,train
5aaw_K0-K1,train
5alb_H0-L0,train
5alc_H0-L0,train
5anm_D0-C0,train
5anm_B0-A0,train
5anm_H0-L0,train
5awn_H0-L0,train
5az2_H0-L0,train
5e8d_H0-L0,train
5mvz_A0-B0,train
5mvz_H0-L0,train
5nuz_H0-L0,train
5nuz_A0-B0,train
6j71_B1-B0,train
8dtx_A0-B0,valid
8dtx_H0-L0,unassigned
4n8c_I0-M0,train
4n8c_H0-L0,train
7zxk_J0-I0,valid
7zxk_H0-L0,unassigned
7zyi_H0-L0,train
8a1e_D0-E0,train
8a1e_B0-C0,train
12e8_H0-L0,train
12e8_P0-M0,train
3juy_B0-B1,train
3juy_A0-A1,train
3juy_E0-E1,train
3juy_F0-F1,train
3juy_D0-D1,train
3juy_C0-C1,train
3kj4_C0-B0,train
3kj4_H0-L0,train
3kr3_H0-L0,train
3ks0_K0-J0,train
3ks0_H0-L0,train
3kyk_H0-L0,train
3kym_H0-G0,train
3kym_B0-A0,train
3kym_D0-C0,train
3kym_F0-E0,train
3kym_J0-I0,train
3kym_L0-K0,train
3kym_N0-M0,train
3kym_P0-O0,train
4lci_H0-L0,train
4r0l_A0-B0,train
4r0l_H0-L0,train
8d47_B0-A0,train
8d47_H0-L0,train
6n5e_H0-I0,train
6n5e_E0-D0,train
6n5e_G0-F0,train
6n6b_K0-L0,train
6n81_H0-L0,train
6n81_C0-D0,train
6n8d_D0-B0,train
6n8d_F0-E0,train
6nb3_H0-L0,train
6nb3_D0-E0,train
6nb5_H0-L0,train
6nb5_I0-M0,train
6nb8_H0-L0,train
6wir_A0-B0,train
6wio_A0-B0,train
7lo8_H0-L0,train
4d3c_H0-L0,train
4d9l_H0-L0,train
4d9l_I0-M0,train
4d9l_J0-N0,train
4d9l_K0-O0,train
4d9q_E0-D0,test
4d9q_H0-L0,unassigned
4d9r_H0-L0,unassigned
4d9r_E0-D0,unassigned
4dag_H0-L0,train
4oaw_D0-C0,train
4oaw_B0-A0,train
7lka_H0-L0,train
7lka_A0-B0,train
7lka_C0-D0,train
7lka_E0-F0,train
7swx_H0-L0,train
7sww_H0-L0,train
7syy_H0-L0,train
7syz_H0-L0,train
7t01_H0-L0,train
7t0l_H0-L0,train
7t0l_G0-K0,train
7t0w_H0-L0,train
7t0w_H20-L20,train
7t0z_H0-L0,train
7t1w_H0-L0,train
7t1w_H20-L20,train
7t1w_H30-L30,train
7t1w_H40-L40,train
7t1w_H50-L50,train
7t1x_H0-L0,train
7t1x_H20-L20,train
7t1x_H30-L30,train
7t1x_H40-L40,train
7t1x_H50-L50,train
5x8m_B0-C0,train
5xj4_H0-L0,train
5xaj_F0-D0,train
5xaj_E0-C0,train
7kmi_A0-B0,valid
7u8e_H0-L0,train
8c3v_H0-L0,train
8c3v_A0-B0,train
8c3v_C0-D0,train
3phq_B0-A0,train
3pho_B0-A0,train
5ggt_H0-L0,train
5ggu_H0-L0,valid
5ggu_A0-B0,unassigned
5ggv_H0-L0,unassigned
7lfb_H0-L0,valid
